Resumen
* * * Sin Resumen * * *

Suc_Id,Bodega_Id,Categoria_ID,Articulo_Id,Textbox6,Existencia,AXS_Costo_Actual,AXS_Ultimo_Costo,Total,Textbox42,Textbox45,Textbox36,Textbox39,Textbox29,Textbox32,Textbox21,Textbox24
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110029084,ALBENDAFAR COMPUESTO PED 2-6 AÑOS 400MG/100MG SUSP 10ML,1.00,318.82,380.38,318.82,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110029085,ALBENDAFAR COMPUESTO PED 7-11 AÑOS 400MG/200MG SUSP 20ML,1.00,334.16,311.80,334.16,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110015602H,ALBENDAZOL 200MG UND X48,21.00,10.86,15.09,228.09,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110010112,ALBENTAB 200MG TAB X20,1.00,121.04,169.45,121.04,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110040284,ALBEVIN Q20  400/200MG 20ML,1.00,192.98,220.77,192.98,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110020994,ALBISEC ONE TAB/REC X6,3.00,455.13,490.60,"1,365.38","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110040313,ALBUREX 20% 200G/L FCO 50ML,2.00,"1,089.51","1,099.60","2,179.03","13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210012307H,ALCANFOR CUADRITO UND X220,93.00,1.13,1.37,105.25,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110000197,ALDACTONE 100MG TAB X30,1.00,839.07,871.35,839.07,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110000198,ALDACTONE-A 25MG TAB X30,2.00,499.22,519.79,998.44,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110028102,ALEPTAL 1MG TAB X30,1.00,311.33,316.05,311.33,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009757,ALEPTAL 1MG/ML JBE 60ML,2.00,468.09,653.87,936.18,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110006871,ALERCET D CAP X10,1.00,245.38,259.31,245.38,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110006872,ALERCET D JBE 60ML,1.00,251.99,260.66,251.99,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110010020,ALERGIL 10MG/ML INY 10ML,3.00,44.80,60.78,134.41,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110011368,ALERGIL 12.5MG/5ML JBE 120ML,2.00,58.59,79.48,117.18,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009086H,ALERGIL 50MG CAP X100,50.00,2.35,3.18,117.48,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1210010935,ALERGIL CREM 20GRS,1.00,40.67,56.10,40.67,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009278,ALERGIL TRIPLE ACCION CREM 20GRS,1.00,43.93,60.78,43.93,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110009939,ALERNO 20MG COMP X10,2.00,325.45,326.51,650.90,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
 2 - K002 KIELSA SPS PAZ BARAHONA, 1 - K002 - Ventas, 1 - MEDICAMENTOS,1110014333,ALERNO BD 20MG COMP X10,1.00,365.45,366.43,365.45,"13,672.00","1,998,282.92","21,280.00","2,492,630.31","21,280.00","2,492,630.31","21,280.00","2,492,630.31"
